@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 182\nSize of the tree: 363\n','Number of leaves: 228\nSize of the tree: 455\n','Number of leaves: 211\nSize of the tree: 421\n','Number of leaves: 215\nSize of the tree: 429\n','Number of leaves: 225\nSize of the tree: 449\n','Number of leaves: 191\nSize of the tree: 381\n','Number of leaves: 208\nSize of the tree: 415\n','Number of leaves: 199\nSize of the tree: 397\n','Number of leaves: 196\nSize of the tree: 391\n','Number of leaves: 204\nSize of the tree: 407\n','Number of leaves: 150\nSize of the tree: 299\n','Number of leaves: 145\nSize of the tree: 289\n','Number of leaves: 164\nSize of the tree: 327\n','Number of leaves: 147\nSize of the tree: 293\n','Number of leaves: 151\nSize of the tree: 301\n','Number of leaves: 134\nSize of the tree: 267\n','Number of leaves: 136\nSize of the tree: 271\n','Number of leaves: 149\nSize of the tree: 297\n','Number of leaves: 175\nSize of the tree: 349\n','Number of leaves: 167\nSize of the tree: 333\n','Number of leaves: 180\nSize of the tree: 359\n','Number of leaves: 171\nSize of the tree: 341\n','Number of leaves: 185\nSize of the tree: 369\n','Number of leaves: 172\nSize of the tree: 343\n','Number of leaves: 194\nSize of the tree: 387\n','Number of leaves: 177\nSize of the tree: 353\n','Number of leaves: 166\nSize of the tree: 331\n','Number of leaves: 152\nSize of the tree: 303\n','Number of leaves: 142\nSize of the tree: 283\n','Number of leaves: 157\nSize of the tree: 313\n','Number of leaves: 163\nSize of the tree: 325\n','Number of leaves: 158\nSize of the tree: 315\n','Number of leaves: 154\nSize of the tree: 307\n','Number of leaves: 168\nSize of the tree: 335\n','Number of leaves: 156\nSize of the tree: 311\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

boilerplate,1,10,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1',3932117032546553727,20151112.1135,8926,991,877,114,0,88.496468,11.503532,0,0.62024,0.1481,0.282024,45.929097,70.267803,719.017009,367.309716,351.707293,0.725547,0.370646,0.354901,364.309914,0.367618,50147.652214,0.948167,750,0.365,73,0.635,127,0.051833,41,0.9113,0.948167,0.929368,0.623794,0.936517,0.983291,0.884965,0.301798,0.698202,0.115035,0.879948,0.884965,0.881104,0.623794,0.936517,0.944051,0.809793,0.884965,0.343,0.001,0.3357,0.001052,335.7,1.052,13566,2975275,332920,98.89001,70.484359,?,?,?,?,?
boilerplate,1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20151112.1135,8925,992,947,45,0,95.46371,4.53629,0,0.859354,0.045465,0.212962,14.08106,52.981834,721.32285,590.73116,130.59169,0.72714,0.595495,0.131645,602.734019,0.607595,82987.197524,0.972187,769,0.114428,23,0.885572,178,0.027813,22,0.97096,0.972187,0.971573,0.859358,0.928952,0.966169,0.954637,0.096878,0.903122,0.045363,0.954555,0.954637,0.954595,0.859358,0.928952,0.934803,0.929677,0.954637,0.001,0.687,0.000955,0.685198,0.955,685.198,2977735,2974942,333253,95.46371,50,?,?,?,?,?
boilerplate,1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20151112.1135,8925,992,939,53,0,94.657258,5.342742,0,0.839134,0.053527,0.231118,16.578194,57.498783,721.32285,695.721544,25.601305,0.72714,0.701332,0.025808,581.680048,0.586371,80088.389804,0.957016,757,0.094527,19,0.905473,182,0.042984,34,0.975515,0.957016,0.966177,0.840006,0.931304,0.967889,0.946573,0.084084,0.915916,0.053427,0.948583,0.946573,0.947278,0.840006,0.931304,0.930248,0.91954,0.946573,0.001,0.67,0.001051,0.668674,1.051,668.674,2977735,2974942,333253,94.657258,50,?,?,?,?,?
boilerplate,1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20151112.1135,8925,992,946,46,0,95.362903,4.637097,0,0.855961,0.046473,0.215315,14.393219,53.567286,721.32285,603.855039,117.467811,0.72714,0.608725,0.118415,600.102192,0.604942,82624.835434,0.972187,769,0.119403,24,0.880597,177,0.027813,22,0.969735,0.972187,0.97096,0.855977,0.926392,0.964941,0.953629,0.100845,0.899155,0.046371,0.953467,0.953629,0.953542,0.855977,0.926392,0.933028,0.92798,0.953629,0.002,0.655,0.001519,0.653687,1.519,653.687,2977735,2974942,333253,95.362903,50,?,?,?,?,?
boilerplate,1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20151112.1135,8925,992,937,55,0,94.455645,5.544355,0,0.827458,0.055543,0.235438,17.202496,58.573619,721.32285,721.969221,-0.646372,0.72714,0.727792,-0.000652,576.416475,0.581065,79363.676748,0.96713,765,0.144279,29,0.855721,172,0.03287,26,0.963476,0.96713,0.9653,0.827494,0.911426,0.958016,0.944556,0.121705,0.878295,0.055444,0.94427,0.944556,0.9444,0.827494,0.911426,0.920445,0.913728,0.944556,0.001,0.66,0.001023,0.658427,1.023,658.427,2977735,2974942,333253,94.455645,50,?,?,?,?,?
boilerplate,1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20151112.1135,8925,992,946,46,0,95.362903,4.637097,0,0.851537,0.046473,0.215315,14.393202,53.567286,721.32285,603.854958,117.467892,0.72714,0.608725,0.118415,600.102272,0.604942,82624.846559,0.982301,777,0.159204,32,0.840796,169,0.017699,14,0.960445,0.982301,0.97125,0.852977,0.911649,0.957609,0.953629,0.130532,0.869468,0.046371,0.952959,0.953629,0.952803,0.852977,0.911649,0.92745,0.925729,0.953629,0.001,0.664,0.000883,0.662502,0.883,662.502,2977735,2974942,333253,95.362903,50,?,?,?,?,?
boilerplate,1,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20151112.1135,8925,992,952,40,0,95.967742,4.032258,0,0.871383,0.040426,0.200782,12.541092,50.044805,719.343201,525.11225,194.230951,0.725144,0.529347,0.195797,613.93688,0.618888,84503.855813,0.983586,779,0.135,27,0.865,173,0.016414,13,0.966501,0.983586,0.974969,0.872267,0.924293,0.963742,0.959677,0.111092,0.888908,0.040323,0.959164,0.959677,0.959123,0.872267,0.924293,0.937133,0.935671,0.959677,0.001,0.688,0.000945,0.684771,0.945,684.771,2977735,2974942,333253,95.967742,50,?,?,?,?,?
boilerplate,1,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20151112.1135,8925,992,941,51,0,94.858871,5.141129,0,0.838186,0.051512,0.226715,15.980318,56.508539,719.343201,669.473948,49.869252,0.725144,0.674873,0.050271,584.994312,0.589712,80520.126129,0.972222,770,0.145,29,0.855,171,0.027778,22,0.963705,0.972222,0.967945,0.838393,0.913703,0.959158,0.948589,0.121366,0.878634,0.051411,0.94804,0.948589,0.948244,0.838393,0.913703,0.924409,0.919087,0.948589,0.001,0.649,0.000909,0.647717,0.909,647.717,2977735,2974942,333253,94.858871,50,?,?,?,?,?
boilerplate,1,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20151112.1135,8926,991,955,36,0,96.367306,3.632694,0,0.886395,0.036431,0.190575,11.298041,47.482761,719.017009,472.622696,246.394312,0.725547,0.476915,0.248632,624.131123,0.629799,85912.321696,0.979772,775,0.1,20,0.9,180,0.020228,16,0.974843,0.979772,0.977301,0.886466,0.939886,0.971269,0.963673,0.083901,0.916099,0.036327,0.963445,0.963673,0.963535,0.886466,0.939886,0.946132,0.943196,0.963673,0.001,0.659,0.000921,0.657458,0.921,657.458,2978068,2975275,332920,96.367306,50,?,?,?,?,?
boilerplate,1,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20151112.1135,8926,991,948,43,0,95.660949,4.339051,0,0.86607,0.043493,0.208281,13.488128,51.894213,719.017009,564.490414,154.526594,0.725547,0.569617,0.15593,605.712229,0.611213,83376.941134,0.970923,768,0.1,20,0.9,180,0.029077,23,0.974619,0.970923,0.972768,0.866108,0.935461,0.969489,0.956609,0.085687,0.914313,0.043391,0.956876,0.956609,0.95673,0.866108,0.935461,0.938959,0.933034,0.956609,0.002,0.676,0.001284,0.673281,1.284,673.281,2978068,2975275,332920,95.660949,50,?,?,?,?,?
