@relation boilerplate

@attribute Length numeric
@attribute PageProp numeric
@attribute PercText numeric
@attribute PercDiv numeric
@attribute DocMarkupProp numeric
@attribute MarkupProp numeric
@attribute PunctProp numeric
@attribute LetterProp numeric
@attribute NumberProp numeric
@attribute TagProp numeric
@attribute EmailProp numeric
@attribute UriProp numeric
@attribute HashProp numeric
@attribute YearProp numeric
@attribute AnchorProp numeric
@attribute UpperProp numeric
@attribute SentBogus numeric
@attribute SentLength numeric
@attribute SentCount numeric
@attribute Copy numeric
@attribute EndsPunct numeric
@attribute DtXhtml numeric
@attribute DtHtml4 numeric
@attribute DtHtml5 numeric
@attribute ContArticle numeric
@attribute ContSection numeric
@attribute ContDiv numeric
@attribute ContP numeric
@attribute ContH numeric
@attribute ContBlock numeric
@attribute ContTd numeric
@attribute ContLi numeric
@attribute ContClose numeric
@attribute OpenProp numeric
@attribute SkippedDivs numeric
@attribute Window1 numeric
@attribute Window2 numeric
@attribute Boiler {B,T}

@data
0.043,0.007521,0.624803,0.371429,0.126125,0.820084,0,1.025641,0,0,0,0,0,0,0.051282,0.075,1,0.43,0.1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.583333,0.55,0.820002,0.677359,B
0.011,0.003587,0.398435,0.591398,0.05453,0.830769,0,1.1,0,0,0,0,0,0,0.1,0.090909,1,0.11,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.766606,0.768225,B
0.017,0.001077,0.560575,0.25,0.142219,0.933071,0.235294,0,0.8,0,0,0,0,0.066667,0.133333,0,1,0.17,0.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.72,0.25,0.702615,0.648073,B
0.008,0.000804,0.138981,0.057057,0.068524,0.952096,0,1.125,0,0,0,0,0,0,0,0.111111,1,0.08,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.666667,0.05,0.931932,0.908885,B
0.015,0.001992,0.596787,0.464684,0.057014,0.896552,0.066667,1,0,0,0,0,0,0,0.076923,0.153846,1,0.15,0.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.545455,0.15,0.908727,0.903516,B
0.007,0.000974,0.357968,0.213873,0.115091,0.958084,0,1.166667,0,0,0,0,0,0,0,0.142857,1,0.07,0.1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.521739,0.2,0.91562,0.902836,B
0.007,0.002108,0.979825,0.809524,0.229351,0.862745,0,1.142857,0,0,0,0,0,0,0.142857,0.125,1,0.07,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.05,0.835834,0.721455,B
0.047,0.008956,0.991044,1,0.078518,0.901053,0.042553,0.978261,0,0,0,0,0,0,0.173913,0.288889,1,0.47,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.629032,0.95,0.879772,0.863297,B
0.054,0.01029,0.129573,0.167883,0.078518,0.1,0.018519,1,0,0,0,0,0,0,0,0.040816,1,0.54,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.113492,0.11834,T
0.011,0.00419,0.86781,0.685714,0.04097,0.898148,0,1.090909,0,0,0,0,0,0,0.090909,0.083333,1,0.11,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.933236,0.931313,B
0.018,0.003135,0.443651,0.105528,0.12121,0.886076,0,1.058824,0,0,0,0,0,0,0.058824,0.111111,1,0.18,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.6,0,0.894759,0.898322,B
0.213,0.004546,0.939662,0.758691,0.372639,0.036199,0.023474,0.978022,0,0,0,0,0,0,0,0.089888,0,0.71,0.3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.396599,0.480528,T
0.018,0.00059,0.084759,0.190955,0.124909,0.790698,0.277778,0.75,0,0,0,0,0,0,0,0.083333,1,0.18,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.05,0.667308,0.692836,T
0.015,0.001998,0.94605,0.742574,0.137529,0.940239,0,1.071429,0,0,0,0,0,0,0.071429,0.133333,1,0.15,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.950417,0.945172,B
0.008,0.002579,0.949065,0.9375,0.145668,0.913044,0,1.125,0,0,0,0,0,0,0.125,0.111111,1,0.08,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.6,0.05,0.738908,0.559345,B
0.015,0.001354,0.79368,0.746606,0.078185,0.933628,0,1.071429,0,0,0,0,0,0,0.071429,0.133333,1,0.15,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.636364,0.2,0.683381,0.631765,B
0.01,0.00381,0.110095,0.042857,0.04097,0.95,0.1,1,0,0,0,0,0,0,0.111111,0,1,0.1,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.938889,0.93103,B
1,0.196541,0.299161,0.621212,0.325327,0.013514,0.023182,0.97445,0,0,0,0,0,0,0,0.052439,0,1,0.2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.5,0.05,0.279446,0.511299,T
0.009,0.000295,0.954867,0.79397,0.124909,0.886076,0,1.111111,0,0,0,0,0,0,0.111111,0.2,1,0.09,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.910886,0.908812,B
0.005,0.003526,0.151622,0.296875,0.118493,0.5,0.2,0,1,0,0,0,0,0.2,0,0,1,0.05,0.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0.05,0.642857,0.567533,B
0.013,0.001722,0.670066,0.076023,0.143307,0.865979,0,0.75,0.333333,0,0,0,0,0.083333,0.083333,0.111111,1,0.13,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.770972,0.831606,B
0.012,0.001365,0.676942,0.654971,0.061058,0.96129,0,1.090909,0,0,0,0,0,0,0.090909,0.083333,1,0.12,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.936413,0.927768,B
0.008,0.001421,0.979751,0.952381,0.110967,0.724138,0,1.142857,0,0,0,0,0,0,0.142857,0,1,0.08,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.819113,0.805966,B
0.042,0.021494,0.862845,0.183674,0.099867,0.766667,0,1.026316,0,0,0,0,0,0,0.026316,0.128205,1,0.42,0.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5,0.05,0.685114,0.74046,B
0.075,0.022852,0.752285,0.82906,0.073967,0.883359,0.093333,0.69697,0.212121,0,0,0,0,0.015152,0,0.173913,0,0.75,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.555556,0.05,0.775607,0.728327,B
0.001,0.000116,0.787227,0.802326,0.111294,0.994286,0,0,2,0,0,0,0,0,1,0,1,0.01,0.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0.05,0.994498,0.949642,B
0.002,0.000063,0.911272,0.800905,0.455538,0.714286,0,1.5,0,0,0,0,0,0,0,1,1,0.02,0.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.333333,0.05,0.358523,0.290697,B
0.043,0.005382,0.694493,0.441177,0.121475,0.855705,0.162791,0.428571,0.4,0,0,0,0,0.028571,0.028571,0.133333,1,0.43,0.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.666667,0.1,0.816307,0.843407,B
0.015,0.001998,0.218729,0.287129,0.137529,0.952681,0.066667,1,0,0,0,0,0,0,0,0.076923,1,0.15,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.666667,0.1,0.70681,0.693404,B
0.017,0.001978,0.852373,0.744186,0.111294,0.903409,0.235294,0,0.8,0,0,0,0,0.066667,0.066667,0,1,0.17,0.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.526316,0.55,0.84325,0.821417,B
0.009,0.001013,0.961621,0.865169,0.204927,0.907217,0,0.375,0.75,0,0,0,0,0,0,0.333333,1,0.09,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.545455,0.1,0.624082,0.545964,B
0.282,0.026203,0.617729,0.189543,0.07994,0.069307,0.021277,0.975309,0.004115,0,0,0,0,0,0,0.080169,0,0.7,0.4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.666667,0.15,0.159213,0.286642,B
0.033,0.005112,0.994889,1,0.084218,0.84434,0.030303,0.967742,0,0,0,0,0,0,0.451613,0.1,1,0.33,0.1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.596774,0.45,0.879706,0.85675,B
0.063,0.010974,0.105208,0.839196,0.12121,0.086957,0.047619,0.964912,0,0,0,0,0,0,0,0.145455,1,0.63,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.857143,0.2,0.366619,0.576681,B
0.03,0.000983,0.164733,0.273869,0.124909,0.655172,0.066667,0.84,0.12,0,0,0,0,0,0,0.047619,1,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.05,0.674706,0.72149,T
0.005,0.000408,0.971708,0.748032,0.199733,0.9,0,1.2,0,0,0,0,0,0,0.2,0.166667,1,0.05,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.871429,0.886737,B
0.051,0.001672,0.058768,0.170854,0.124909,0.527778,0.117647,0.880952,0,0,0,0,0,0,0,0.027027,1,0.51,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.05,0.51727,0.578761,T
0.038,0.007329,0.859209,0.555556,0.4966,0.707692,0.105263,0.823529,0.088235,0,0,0,0,0,0.029412,0.071429,1,0.38,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.333333,0,0.685646,0.571872,T
0.012,0.00188,0.985589,0.986577,0.059297,0.781818,0,1.090909,0,0,0,0,0,0,0.090909,0.166667,1,0.12,0.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.555556,0.15,0.810541,0.659922,B
